Script#39			
*	BG	Library	
*	BGM	BGM_Prelude	
deus	-	(어차피 장치가 깨진 이상 다음 기회는 없겠군. 그렇다면 내 계획은 이번에 해치워 주지.)
deus	-	(레오날드 핀토스, 넌 틀렸어. 내가 옳았다는 사실을 곧 증명해 주마.)
curi	-	모나드 황제에 대한 그 이야기가 진짜였다고요?!
luvericha	-	그럼, 핀토스 저택에 있던 그건…….
reina	irritated	그래, 모나드 황제였어. 살아 있다고 표현하기엔 좀 애매하지만, 죽지는 않았지.^그쪽이 멍청하게 툼나 황제를 끌어들이는 바람에 이 지경이 됐다고.
lucius	-	뻔뻔하군!
karldrich	-	자자, 진정해. 상대는 내분을 일으키고도 이길 만큼 만만하지 않아.^분열은 실패하는 길이다.
deus	-	그래서, 자네들의 계획은 뭔가?
reina	-	어리석은 황제 때문에 핀토스의 고결한 숙원을 포기할 수는 없죠.^모나드는 힘으로라도 되찾을 겁니다.
reina	-	자바 연방 정도로는 유니티 제국을 상대할 수 없으니,^유일한 방법은 무기를 각성시키는 것뿐입니다.
deus	-	(좋아, 나도 그럴 생각이었다. 다행히 이야기는 빠르게 진행되겠군.)
blank	-	그 무기가 충분한 준비가 되었는지는 확인하기 전엔 모르지만,^모나드 본체를 빼앗긴 상황이라면 어쩔 수 없다.
blank	-	500년 가까운 시간 동안 힘을 모아 왔고, 지난번에 확인했을 때도 꽤 많이 진척된 상태였으니…… 이상적인 수준은 아니더라도 써먹을 수 있을 정도는 될 것이다.
deus	-	(제아무리 레오날드의 계승자라 해도 내 전력을 발휘하면 승산은 충분하지만…… 그 전에 녀석의 힘을 빼두는 게 낫겠군.)
blank	-	불필요한 위험을 감수할 이유는 없다. 적당히 구슬려서 자기들끼리 싸우도록 유도해볼까.
deus	-	그렇다면 아르셀리안의 후계는 어디 있나?
lucius	-	그걸 어떻게 아셨죠?
deus	-	핀토스 대표가 무기를 각성시키겠다고 했으니 당연한 것 아닌가?
lucius	-	그리 말씀하셔도 전혀 모르겠습니다만.
deus	-	레이나라고 했던가? 자네, 제대로 설명도 안 하고 데려왔구만.
reina	surprised	데우스 님……?!
blank	-	핀토스 대표 녀석은 당황한 기색을 숨기지 못하고 있다.^자기 편을 들어서 하스켈 쪽을 해치워 줄 거라고 기대했겠지.
blank	-	핀토스의 후계자로서 역할을 다하지 못해서 일을 이 지경으로 만들어놓았는데, 내가 그럴 수야 있나.
deus	-	정정당당하게 결투로 해결하게.
lucius	-	갑자기 여기서 결투를 말입니까? 그보다 누구와?
deus	-	하스켈 젊은이는 아무것도 모르는 듯 하니 설명하지.
deus	-	모나드를 봉인할 때 그가 쓰던 무구도 함께 봉인되었네.^그것들은 모나드 본인과 연결되어 있지.
kashasty	surprised	봉인이라고요?! 돌아가신 게 아니라?
deus	-	……다행히 무구는 이곳에 남아 있어.
deus	-	모나드 녀석의 원한을 풀어준다면 그것들은 본래의 힘뿐 아니라,^세월이 쌓인 만큼을 더해 그 이상을 되찾을 걸세.
json	-	원한……?
deus	-	자신을 봉인한 자들, 즉 레오날드 핀토스와 아르셀리안 하스켈에 대한 원한이다.
lucius	-	선조님께서 모나드 폐하를 봉인하다니, 그게 무슨……!
deus	-	무구의 힘을 깨우는 법은 바로 그들의 후예 중 하나를 죽이고 그 피를 무기에 닿게 하는 것이야.
luvericha	-	말도 안 돼요!
deus	-	아르셀리안의 후계여. 그대 역시 내 벗의 후손이기에 기회를 주겠네.
deus	-	두 영웅의 계승자끼리 명예로운 대결을 하는 거지.
karldrich	-	흥, 세습이라는 구시대의 악습을 버리지 못한 자들의 유산이로군.
deus	-	승자는 패자를 죽인다.^그걸로 무구는 본래 힘을 되찾고, 현 황제로부터 모나드를 되찾을 수 있을 걸세.
blank	-	어느 쪽이든 승부가 나면 모나드 녀석의 무구는 깨어난다. 그러면 그것을 챙겨서 빠져나가면 끝이다.
deus	-	(입구 반대쪽에도 밖으로 통하는 비좁은 비밀 통로가 있다. 그 통로는 그동안 핀토스 대표였던 녀석들에게도 알려주지 않았으니 아무도 모르겠지.)
lucius	-	……확실히 믿을 수는 없지만.
*	BGM	BGM_Depart	
blank	-	그는 잠시 생각에 잠기더니, 이쪽을 똑바로 바라보며 대답했다.
lucius	-	동생의 원수를 갚고, 황제의 야욕을 저지하고, 세계의 재앙을 막아낼 수 있다면.
lucius	-	그건 제 손으로 이루어 내도록 하죠!!!
reina	-	좋아, 할 마음이 생겼다 이거지?
reina	-	여기까지 와서 그런 건 못 한다고 징징대면 어쩌나 걱정했다고. 그럼 이제…….
luvericha	-	잠깐.
lucius	-	리카?
luvericha	-	이건 위험해요. 저 사람들은 믿을 수 없어요.^일대일이라고 약속했지만 아무렇지도 않게 기습을 해올지도 몰라요.
luvericha	-	그렇게 오라버니가 당해버리면, 그때 따져봤자 이미 늦잖아요?
reina	irritated	당신이 참견할 일이 아냐.
deus	-	정 못 믿겠다면, 두 사람과 나를 제외한 나머지는 밖에서 기다리도록 하게.
eren	-	뭐야, 나머지는 다 들러리 취급인가?
json	-	어쩔 수 없지. 서로를 믿기 어렵다면 그게 최선 아니겠어?
yeong	-	그렇다면 아예 모두가 참여하는 건 어떨까요.
blank	-	예상치 못한 제안에 주변이 조용해졌다.
yeong	-	모두가 현장에 남으면서도 난입을 방지하려면 그 방법밖에 없죠.
yeong	-	모아 온 인재들의 실력도 능력의 연장선상에 있으니 불공정하진 않을 겁니다.
lucius	-	……좋습니다. 하지만 조건을 하나 걸죠.
lucius	-	이 대결에서 목숨을 거는 것은 저와 레이나 핀토스, 두 명뿐.
lucius	-	다른 사람들에게는 결코 살수를 쓰지 않겠다고 약조하십시오.^여기에 있는 모두가.
ratice	-	물론이지.
lenien	-	불편하긴 하겠지만…… 그래야만 납득하겠다면 어쩔 수 없죠.
deus	-	(귀찮게 구는군…… 하지만 오히려 잘 됐나. 다른 녀석들도 싸우느라 지친 상태라면 쫓아오기는 더 어려울 테니.)
deus	-	마침 각자가 여섯 명씩이군. 그럼, 내가 신호를 보내면 시작하게.
*	Battle	201
