Script#10-2			
*	BG	RockMountain_Night	
*	BGM	BGM_Solve	
blank	-	녀석은 한동안 생각에 잠기더니 어렵사리 입을 열었다.
lucius	-	……좋습니다. 다만 짚고 넘어가야 할 부분이 있군요.
yucrrem	-	말씀하시지요.
lucius	-	우리는 디아즈라는 분의 신세를 지고 있습니다.^그분도 최근의 사태 때문에 상당한 피해를 보고 계셔서 곤란한 참이군요.
blank	-	상대는 이마를 찌푸리고 생각에 잠기더니 미소를 지으며 대답을 내놓았다.
yucrrem	-	좋습니다. 대신관께서도 마을 하나의 생산을 지연시키는 것보다는 동맹과의 관계가 더욱 중요하다 생각하시겠지요.
yucrrem	-	이 마을에 대한 방해 활동은 중지시키도록 하겠습니다.
yucrrem	-	언젠가 또 만날 일이 있을 겁니다. 수호성께서 그렇게 말씀하시니까요.
blank	-	그는 뒤돌아 사라졌다.
*	FO
*	BGM	BGM_Urgent
*	FI
blank	-	지친 몸을 끌고 험한 산길을 내려가던 중, 또다시 불청객이 우리를 찾아왔다.
*	SE	Run
json	-	이봐! 루키어스 하스켈!
curi	-	누, 누구죠?!
karldrich	-	저놈은 또 뭐야?
eichmann	-	지금부터 이 부대는 내가 지휘한다! 모두 전투 대형으로!^변절자를 포함한 모든 반역자들을 처단해라!
lucius	surprised	……적이다!
json	-	나는 이제부터 친위국 집행관이 아니다! 너희와 합류하러 왔다!
lucius	-	그걸 믿으라는 건가?
json	-	이봐, 포로! 너도 우리와 함께하지 않겠나? 그냥 죽는 것보다는 나을 거다!
karldrich	-	……포로? 무슨 소리야?
blank	-	한 박자 늦게 어둠 속에서 누군가가 감정이 전혀 실리지 않은 목소리로 대답했다.
triana	-	……그래, 저놈들부터 해치우자고.
*	SE	FireExplosion
blank	-	그 말이 끝나기도 전에 그들 사이에서 뭔가가 번쩍이더니 비명소리가 들려왔다.
karldrich	-	진짜 제국군이잖아?! 저놈들부터 어떻게든 해야겠는데!
*	Battle	102
