Script#10-1			
*	BG	MeetingRoom	
*	BGM	BGM_Normal	
curi	-	못 믿겠으면 한번 맞아 볼래?^잘 됐네, 안 그래도 진짜 사람한테는 실험을 못 해봤는데.
karldrich	-	(안에 든 게 뭔지는 몰라도 한 벌밖에 없는 옷이 젖으면 귀찮아지는데.^이 집 애 같은데, 성질을 더 긁어서 좋을 건 없겠지.)
*	BGM	BGM_Normal	
karldrich	-	흠흠. 내 이름은 칼드리치 아돌.^루키어스 하스켈이라는 녀석과 함께 주인 양반의 손님으로 와 있다.
curi	-	루키 오빠요? 그런 말은 못 들었는데…….
blank	-	뭐야, 금수저 녀석이랑 일행인 걸 아니 바로 존댓말로 바뀌잖아.
karldrich	-	그놈과 아는 사이라면 잘 됐군. 어쨌든 너한테 딱히 무슨 짓을 할 생각은 없어.^다가오지 말라니까 난 돌아간다.
curi	-	그, 그러시죠.
*	Disapp	curi
blank	-	어느새 시간이 꽤 지나 있었기 때문에,^괜한 의심을 사기 전에 일단 응접실로 돌아가기로 했다.
karldrich	-	(방금 그 녀석의 정체를 확인해볼 필요는 있겠군.)
*	FO		
*	BG	MeetingRoom	
*	SE	Door	
*	FI		
karldrich	-	혹시 따님이 있소? 돌아오는 길에 마주쳐서 말이오.
lucius	-	큐리 이야기인가 보군요.
schmidt	-	아, 맞습니다. 일행분께서는 모르셨을 수도 있겠군요.
schmidt	-	혹시나 아이가 실례를 저지르진 않았습니까?^아내가 죽은 후 애가 많이 비뚤어져서 말이죠…….
karldrich	-	(딸은 있는데 애 엄마가 안 보이길래 무슨 일인가 했는데, 사별했나보군.)
lucius	-	……그 이야기는 그만하죠.^이봐, 나와 함께 슈미트 씨를 돕지 않겠나?
schmidt	-	하스켈 경이라면 그냥 계셔도 괜찮은데 그러시는군요.
lucius	-	아무리 그래도 가만히 있을 수는 없지요.
karldrich	-	(이런 멍청이, 잠깐 나갔는데 그새 안 해도 될 일을 떠맡다니.)
blank	-	괜히 자리를 비웠다고 후회하며 도로 앉았다.
karldrich	-	어떤 일인데?
lucius	-	주변의 수인들을 쫓아 달라고 하시는군.
schmidt	-	요즘 극성을 부려 골치입니다.
schmidt	-	옛날부터 인간들과 사이가 나쁘긴 했지만, 얼마 전까지만 해도 자기들끼리 조용히 사냥을 하면서 살고 있었는데…….
schmidt	-	며칠 전에도 조달 중이던 광석들을 약탈했다더군요.^그놈들은 기술이 없어 쓰지도 못할 텐데 대체 뭘 하려는 건지 원.
karldrich	-	그렇다면 직접 쓸 게 아니라 생계를 위해 팔려는 거겠지.
lucius	-	괘씸한 녀석들이군요. 선량한 사람의 물건을 털어가다니.
blank	-	난 자리에서 일어나 루키어스의 어깨를 짚고 나지막하게 말했다.
karldrich	-	범죄에는 다 사회적 맥락이 있는 법이다.^너도 지금 제국 법률에 의하면 범죄자가 아니더냐.
lucius	-	……흥.
karldrich	-	수인이라면 말은 통할 테니 일단 왜 그랬는지 가서 들어보자고.^정말 나쁜 녀석들이라면 나도 거들어줄 테니.
*	FO		
*	BG	City_Night	
*	BGM	Epic_Monarch
*	FI		
lucius	-	슬슬 출발하도록 할까.
blank	-	밤이 깊은 시각, 수인들이 한창 활동할 시간대에 우리 둘은 저택을 나섰다.
curi	-	자, 잠깐만요!
blank	-	아까의 꼬마가 짐을 바리바리 싸들고 서 있었다.
curi	-	…….
lucius	-	아, 큐리구나. 아직 안 자고 있었어?
karldrich	-	흥, 너답지 않은 친절한 말투로군.
lucius	-	흠흠, 난 선량한 사람에게는 항상 친절하지.
blank	-	말은 그렇게 하지만 어색한 기색이 역력하다.^무뚝뚝한 성미에 안 맞게 나긋나긋한 말투로 대하느라 고생하는군.
curi	-	저도, 같이 갈 거에요!
karldrich	-	지금 우리가 뭐 하러 가는지는 알고 하는 말이냐?
curi	-	물론이죠. 수인들을 혼내주러 가는 거잖아요? 들어서 다 안다고요.
lucius	-	하하, 걱정은 고맙지만 도와주지 않아도 두 명으로 충분해.^게다가 혹시라도 네게 무슨 일이 생기면 아버지가 걱정하지 않겠니?
blank	-	녀석 딴에는 좋은 말로 돌려보낼 계획이겠지만 꼬맹이는 눈 하나 깜빡하지 않고 받아쳤다. 제법인데?
curi	-	흥, 그럴 리가요. 그 인간이 그럴 사람이었으면 제가 오빠를 따라가려고 하지도 않았을 거예요.
lucius	-	…….
blank	-	말문이 막힌 채 심각한 표정이다. 내가 모르는 뭔가가 있나본데.
lucius	-	알겠어. 일단 같이 가자.
karldrich	-	야, 어쩔 셈이야?
lucius	-	이번 기회에 바깥 세상이 얼마나 험한지 알게 해 주는 것도 좋겠지.^그러면 디아즈 씨를 좀더 이해해 줄지도 모르고.
curi	-	우……. 아무리 루키 오빠라도 절 무시하면 그냥은 못 넘어가요.^지금까지 익힌 걸 제대로 보여드리죠!
*	FO		
*	BGM	BGM_Prelude	
*	BG	RockMountain_Night	
*	FI		
karldrich	-	이 자식, 위치를 알고 있나 했더니 무작정 돌아다니는 거였냐?
lucius	-	인간에게 적대적인 녀석들이니 먼저 덤벼들겠지.^큐리도 있으니까 우리가 작정하고 자기들을 공격하러 왔다는 생각은 못 할 거야.
karldrich	-	……흠, 그래서 데려온 거였냐.
karldrich	-	(앞뒤 안 가리는 바보인 줄 알았는데 그 정도는 아니었군.)
*	SE	IceShard
blank	-	문득 근처에서 바스락대는 소리가 들렸다. 잎사귀 스치는 소리인가?
curi	-	잠깐 조용히 좀 해 봐요.
?furry	-	크큭. 이 시간에 나돌아다니다니 겁이 없군.
?furry	-	가진 걸 전부 내놓으면 몸은 성하게 보내 주지.^우리도 불필요한 피를 보는 건 원하지 않는다.
karldrich	-	야, 함정에 걸린 건 우리가 아니라 너희다.^왜 산적질을 하는지 납득할 만한 설명을 내놓으면 용서할지 말지는 생각해 보마.
blank	-	어두워서 시각만으로 분간하기는 어렵지만,^기척을 살피니 놈들의 숫자는 생각보다 많았다.
?furryElder	-	허어, 우리를 노리고 여기까지 왔단 말인가. 어리석군.
lucius	-	일단 힘의 차이를 알게 해 줄 필요가 있겠는데.
blank	-	걱정하는 기색은 전혀 없다.^그만한 검술을 익히고서 상대 무리의 기척을 모를 리는 없으니,^상대가 몇 명이든 지지 않는다는 자신감이시군.
blank	-	귀족 주제에 싸움질 하나는 확실히 도가 튼 녀석이니까.^비무장 민간인 상대로 산적질이나 하던 일당 상대라면 문제 없으리라.
karldrich	-	짜식, 일단 믿어 보마.
curi	-	저, 실전은 안 해봐서 위력 조절이 잘 될지는 모르겠는데요…….
lucius	-	지금이 실전이지. 부탁한다!
*	Battle	101
