Script#21			
*	BG	MeetingRoom	
*	BGM	BGM_Normal	
*	Gray
*	App	left	sepia
*	FO	0.3
*	Colorful
*	FI	0.3
blank	-	레이나 핀토스를 발견했지만, 정체를 알 수 없는 방해꾼이 끼어드는 바람에 기회를 놓쳤다.
sepia	-	(바보가 아닌 이상 이 주변에 다시 나타날 것 같지는 않군.)
blank	-	어차피 저택에는 더 이상 아무것도 없다.^연회 직후, 수색을 통해 수상한 건 전부 회수했으니까.
sepia	-	(대체 무슨 일이 일어나고 있는 건지.)
sepia	-	……아?
ratice	-	……!!
*	SE	Run
*	Disapp	right
blank	-	분명 레이나 핀토스를 놓치게 만든 방해꾼과 눈이 마주쳤다.^바로 도망쳐서 군중 사이로 섞여들어갔지만.
blank	-	반역자를 붙잡는 중요한 일을 일부러 방해하다니.^아마 그들과 한패겠지.
blank	-	양쪽에 신경이 분산되어 모두 놓쳐버린 실패를 곱씹을 뿐이었다.
sepia	-	(선서. 우리는 국가 부흥의 역사적 사명을 띠고 이 땅에 태어났다…….^그래, 정신을 똑바로 차리지 않으면 안 돼.)
*	BGM	BGM_Urgent	
*	SE	PamaLight	
sepia	-	?!
blank	-	소매 끝의 휘장이 빛나고 있었다.^짧게 세 번, 사건이 발생했다는 사실을 알리는 신호.
blank	-	하늘을 올려다보자 어디선가 굵은 연기가 하늘로 치솟고 있었다.^그쪽 방향에 있는 건, 광장이다.
sepia	-	(말도 안 돼. 그들은 내일, 통상적인 방법으로는 여기서 사흘 이상 걸리는 장소에서 모일 예정이다. 이 도시에 잔당이 남아있을 리가……!)
blank	-	상부에서도 그렇게 생각했기 때문에 처형식에 평소 이상의 경비 수단을 강구하지 않았을 터고, 나도 그렇게 납득했기 때문에 의문을 제기하지 않았다.
blank	-	하지만 이미 일어난 일이니 그런 생각을 해 봤자 소용없다.^꽤 멀다. 뛰어가려면 한참이다. 그러나 당장은 다른 수단도 없었다.
*	SE	Run
blank	-	거기까지 생각이 미쳤을 때, 다리는 이미 전속력으로 달리고 있었다.
*	Battle	111
