Script#33			
*	BG	City_Night	
*	BGM	BGM_Normal	
*	BG	City_Night	
*	BGM	BGM_Normal	
*	FI		
blank	-	그날 이후, 대표님과 피상적인 내용 이상의 대화를 하는 일은 거의 없었다.
luvericha	-	(오빠가 없는 하스켈 가문은 더 이상 특별하지 않지만……^핀토스 인간들과 함께하는 것보다는 낫겠지.)
blank	-	루시안 오빠를 그렇게 만든 자들.
reina	irritated	새로운 동맹이라는 게 하스켈 씨였나요?
ratice	-	……미리 알리면 회합이 성사되지 않을 가능성이 있다고 판단했습니다.^양해해 주시길.
blank	-	진정한 신 뮤의 가르침을 유니티 제국에 실현하기 위한 비밀결사 인터내셔널.
blank	-	……의 칸티움 지부장이라는 사람은,^기분 탓인지 모르겠지만 이쪽을 힐끔힐끔 쳐다보는 것 같았다.
kashasty	-	비교적 최근에 들어온 소인이야 양가의 갈등에 대해 딱히 감정은 없사오나,^다른 분들께서는 어찌 생각하실지요.
karldrich	-	아, 네가 러브레이스? 그러고 보니 핀토스의 기사가 됐다고 들은 적이 있군.
kashasty	surprised	저를…… 아는 분이신지요?
karldrich	-	물론이지. 남의 기회를 빼앗고 뒷구석으로 마법학교에 들어가 승승장구하던, 썩어빠진 귀족 나리 아니신가.
kashasty	-	……!!
blank	-	그녀는 창백해진 얼굴로 숨을 들이마셨다.
luvericha	-	일단, 저는 하스켈 가문의 생존자를 찾았으니 약속대로 돌아가겠어요.
blank	-	카샤스티 씨는 그나마 괜찮은 사람인가 했지만,^아무래도 핀토스에는 제대로 된 사람이 없는 것 같았다.
lenien	-	음…… 회합치고는 별로 좋은 분위기가 아닌 것 같네요.
*	BGM	BGM_Tense	
triana	-	……아.
json	-	뭔가 할 말이라도 있나?
triana	-	누나?
blank	-	기묘한 분위기의 소년이 나를 빤히 바라보고 있었다.
luvericha	-	오라버니. 이 분은 누구죠?
curi	-	그러고 보니, 자기에 대해서 말하는 걸 들은 적이 없네요.
reina	irritated	트리아나? 어쩌다 하스켈과 다니게 된 거지?
blank	-	왜인지 내게서 눈을 떼지 않는 소년의 주변에서,^에테르의 불안정한 움직임이 느껴졌다.
triana	-	아니, 저건 누나가 아니야……. 그래, 여기 있을 리가 없잖아? 왜냐하면……
reina	shout	그 애한테서 떨어져!!
*	BGM	BGM_Urgent	
*	SE	Bomb
triana	-	내가 죽여버렸으니까!!!
*	SE	PullSword
lucius	-	위험해!
*	SE	SwordCollision	
blank	-	대표님이 급하게 사이에 끼어들며,^나를 향해 쏘아지듯 뻗어오는 빛무리를 쳐내 방향을 틀었다.
reina	irritated	이런 일이 또 일어날 줄이야…….
lucius	-	뭔가 알고 있군.
reina	irritated	지금은 자세한 이야기를 할 때가 아니야.
blank	-	레이나 핀토스는, 갑자기 나를 공격한 소년을 보며 나지막히 선언했다.
reina	irritated	저 아이를 어떻게든 하지 않으면, 소란은 둘째치고 우리 전체가 위험해질 수도 있어.
luvericha	-	레이나 핀토스! 저 애한텐 또 무슨 짓을 한 거죠?^당신이란 인간은 정말……!
yeong	-	이야기는 눈앞의 문제부터 해결하고 나서 하시죠!
*	Battle	161
