Script#14-1			
*	BG	Dark	
*	BGM	BGM_Tense	
*	App	left	kashasty-surprised
blank	-	알체스라면 3년마다 전국 연금술 학회를 개최하는 지역. 잘 아는 분야는 아니지만 새로운 기술의 실마리를 얻을 수 있을까 해서 가본 적은 있다.
bebel	-	괴수를 산 채로 붙잡아서 강제로 에테르를 주입하고 추출하는 짓을 반복하는 식으로 이루어진다고 합니다. 위험할 뿐 아니라 실로 비인도적인 방식이죠.
kashasty	surprised	설마 그걸 방해하려고요?^얼마나 많은 곳에 응용될 수 있는 기술인지 알고나……
bebel	-	물론이죠. 가장 먼저 우리를 죽일 무기에 이용되지 않겠습니까?
*	FO		
*	Colorful		
*	BG	City	
*	BGM	BGM_Prelude	
*	FI		
blank	-	<color=yellow>제국력 518년 2월 6일, 연금술의 도시 알체스</color>
blank	-	베벨이라는 인물의 소개로 우편마차를 얻어타고 다른 도시까지 이동했지만, 이곳에서는 은신처를 제공받으며 며칠째 시간만 보내고 있었다.
blank	-	멀리서 화려하게 장식된 종탑이 보였다.^지금도 그 안에서는 에테르를 정제하는 연구가 진행되고 있을 것이다.
kashasty	-	(정말 그런 짓을 해도 괜찮은 걸까……?)
blank	-	어차피 괴수는 위험한 생물일 뿐인데 뭐가 비인도적이란 말인가.
blank	-	연구가 완성되면 위험한 무기가 만들어질 수 있는 건 사실이지만,^어떻게 쓰느냐에 따라 얼마든지 유용한 것들을 만들어낼 수도 있다.
kashasty	thinking	(소인이 대외적인 대표자라면, 그것을 도둑질한 사람으로 알려지겠지요.)
kashasty	thinking	(진리를 탐구하는 사람으로서, 역사에 그런 식으로 남고 싶지는 않은걸요…….)
blank	-	하지만, 목숨을 구해주고 여기까지 보내준 후 쉴 곳까지 제공한 호의를 이제 와서 거절하는 것도 불가능한 일.
blank	-	결단을 내리지 못한 채, 마음의 준비가 필요하다는 이유로 최대한 미룬 거사일은 휴일인 이틀 뒤다.
*	BGM	BGM_Pintos	
kashasty	surprised	어?
lenien	-	(~~~)
reina	irritated	(~~~)
blank	-	멀어서 잘 들리지 않았지만, 익숙한 분위기의 사람들이 빠른 걸음으로 움직이며 심각한 분위기로 뭔가 이야기하고 있었다.
kashasty	-	저……!
kashasty	-	(핀토스 가 사람들? 아니, 잘못 봤나? 다른 사람인 것 같기도 하고…….)
blank	-	쫓기는 처지에서 핀토스 경을 큰 소리로 부를 수는 없다.^거리를 두고 따라가자, 종탑에 도착한 그들은……
*	BGM	BGM_Urgent	
*	SE	Slash	
yeong	-	(~~~)
luvericha	-	(~~~)
blank	-	무어라 말하는 듯하더니 입구에서 나오던 사람을 쓰러뜨리고 뛰쳐들어갔다.
blank	-	가야 한다는 사실까지 생각이 미치기도 전에,^몸이 먼저 그들을 쫓아 안을 향해 달려가고 있었다.
*	Battle	131
