Script#14			
*	BG	Forest	
sylvie	-	나랑 파이선이 알아서 할 테니까 넌 조용히 해. 고작 평요원 자격이나 간신히 따낸 주제에.
sylvie	-	네가 어떻게 집행관 자리까지 올랐는지 알고나 하는 소리니?^모르면 가만히라도 있어야지, 하여튼…….
blank	-	난 항상 그렇게 쓸모없는, 하지만 핏줄 때문에 버릴 수도 없는 짐짝 취급이었다.
python	-	이게 다 우리 가문을 위한 일이다.
python	-	이 형님만 믿으라고. 너도 우리 가족의 일원이니, 그만한 품격을 갖추도록 도와주마.
blank	-	부모님은 일찍 죽었고, 항상 자기들 둘이서 어셈블리 가를 일으켜 자작 작위까지 달았다는 자부심에 차 있다.
blank	-	어차피 죽은 양친이든 누이 형님이든 못난 막내를 무시하는 건 마찬가지라서 딱히 차이는 못 느꼈지만.
json	-	(그래, 아주 잘 나셨어. 실비 어셈블리 자작님.)
python	-	아, 그래, 제이선. 집행부 쪽은 뭔가 신경 쓰이는 점 없냐?
blank	-	별 의미 없이 바닥 무늬가 가로로 몇 번이나 반복되는지 세고 있었다.^하나, 둘…….
json	-	딱히.
blank	-	패배자 떨거지인 나에게는 가족 중 누구도 신경쓰지 않는다.
blank	-	단지 조금의 이용 가치가 있고, 자신들의 체면 유지를 위해 신경써야 하는 존재일 뿐.
python	-	짜식, 몸 좀 펴고 다니고. 뭔가 건수 잡으면 알려달라고.
sylvie	-	그래. 정보는 곧 부와 권력이라는 걸 명심해.
json	-	(제기랄, 잘난 척하지 마! 네 능력도 아니잖아! 황제한테 잘 보여서 따낸 권세잖아! 무시하지 말라고!!)
sylvie	-	알겠어, 모르겠어? 듣고 있긴 해? 혹시 말을 못 알아들을 정도로 퇴화한 거니?
json	-	……알았어.
blank	-	목구멍까지 차오르던 외침을 가까스로 억누른 채 대답했다.
python	-	아, 그래. 중남부 숲지대 개발은 어떻게 되고 있냐?
json	-	아직. 생각보다 저항이 심해서.
sylvie	-	저항? 그깟 미개종들이 거기서 뭘 하겠다고 방해질이람.^별 것도 아닌데 인정사정 봐주지 말고 쓸어버려.
sylvie	-	땅을 사뒀는데 써먹질 못하면 손해잖아. 안 그래?
*	FO
*	BG	Forest	
*	BGM	BGM_Solve
*	Colorful
*	FI
blank	-	이들은 그곳에서 터전을 잃고 쫓겨난 자들일 것이다. 이렇게 멀리까지.
json	-	……그렇군, 내 사과하지. 진심으로 미안하다.^하지만 오늘은 정말로 그대들과 싸우러 온 게 아닌데. 지나가게 해 주겠나?
blank	-	물론 사과 한 마디로 풀릴 문제가 아니지만, 칼자루는 이쪽에 있다.^풀리지 않는다고 딱히 어쩔 도리는 없을 터.
blank	-	녹색 물결이 서서히 물러나더니, 정령사는 억울하다는 듯 소리쳤다.
elvenElementalist	-	이번은 그냥 물러나지만, 다음 번에 같은 일이 생긴다면 오늘 일어난 동포들의 희생까지 한꺼번에 보복할 테다!
json	-	(……이런 비극이 있기 전에 대화로 해결했으면 좋았으련만.)
blank	-	나는 긴장하고 지친 부하들을 데리고 다시 목적지로 향했다.
*	Era
