Script#1 //둘째 줄부터 Parsing하므로 첫줄은 아무 내용이나 채울 것			
reina	-	(Nevertheless she is trying her best acting out herself as a beauty in a banquet.)	
reina	-	……I show my gratitude.	
triana	-	D, do I also have anything to help……	
*	Glos	트리아나 페르단트1
blank	-	Turning towards the source of the line, <color=red>another knight</color> was standing at the back, shoulders timidly shrunk and her back slightly bent.	
reina	-	(If my brother could escape his death before his first birthday……^Well, he must have been older than Triana, though.)	
blank	-	Traumatized by a terrible incident before serving the Pintoses, Triana is always intimidated.^Will he be ever able to overcome his trauma? 	
reina	-	Nothing in particular now, thank you. 	
aron	-	What is that outfit, at this formal occation? You truly are a black sheep of the family.	
aron	-	You shouldn't have brought that fopdoodle into the Knights of Pintos. Chickens of a feather flocking together? 	
reina	irritated	……Keep your mouth shut. I don't care about our fragile relationship, ^but at the very least don't expose that in front of their eyes. 	
*	Glos	아론1
blank	-	Turning herself away from her idiotic <color=red>cousin</color>, Reina looked at the Haskell's side. ^They seemed to be having conversations by themselves, paying little attention to the Pintoses. 	
reina	-	(Sigh…… it's his majesty who made us to this ball, ^but at least sounding them out is meaningful than wasting time waiting for His presence.)	
*	BGM	BGM_Tense
*	Disapp	left
blank	-	As I approached the Haskells, their speech diminished.	
blank	-	It was deadly silent when I came a few steps away from the head of the Haskells.	
reina	-	(Their hostility denying my presence is asphyxiating…….^Nonetheless, this shall as well be a burden of the head of a family.)	
*	Glos	루키어스 하스켈1	
reina	-	Long time no see, the <color=red>Duke of Haskell</color>.	
blank	-	The smile I sent as a courtesy was littered to the ground and shattered into pieces at once. 	
lucius	-	No words of greetings are prepared for a murderer. 	
blank	-	Well, if he is not ready for a civilized conversation, I have no reason at all to remain polite.	
reina	-	Hmm, I have no idea what you are talking about, but your manner will embarrass his majesty, who have provided us a table for conversations.	
*	SE	Tap
luvericha	-	How dare of you saying words……!	
yeong	-	Raising your volume will benefit neither of us in the ballroom. 	
*	SE	Door
blank	-	In this moment, the door towards the platform which the Emperor would appear flung open.	
noel	-	…….	
blank	-	Who appeared was not the Emperor, but a group of uniformed officers.	
*	Glos	친위국1	
kashasty	-	Navy uniform…… you must be from <color=red>Aster</color>. What is the task that has brought you here?	
bianca	-	No excuses nor lies, rebels! We know everything!	
lucius	-	……oh, the investigation is over, I assume? 	
blank	-	Lucius, nodding, seemed to be the only one who seemed to understand what was going on.	
reina	-	(Was there something going behind my back?!)	
lucius	-	Summoning us the Haskells in order to catch them off guard, ^his majesty truly plans everything thoroughly.	
lucius	-	Reina Pintos.^The judgment of justice is finally upon you. 	
reina	-	Judgment, what are you talking about……!	
luvericha	-	Ahh, truly blessed we are, my brother.	
luvericha	-	Let us make our exeunt and leave the stage to the Stars of the Empire.	
noel	-	The Emperor of Unity hereby announces that the accused……	
*	Glos	모나드1
noel	-	have contempted the court by unlawfully transporting the body of <color=red>Monad</color> his royal majesty, ^conducting experimentations, plotting conspiracy against the Dynasty of Unity. 	
noel	-	Thus his majesty has Aster authorized the execution of every one present. ^In the name of Unity, the execution shall begin immediately. 	
luvericha	-	……Wait, every one?	
lucius	-	What……?	
*	SE	Bomb
*	BGM	BGM_Urgent
noel	-	Operation starts now!	
blank	-	A huge explosion bombarded the ballroom with her word, not differenciating the Pintoses and the Haskells.	
lucius	-	There must be some misunderstanding…… extend! It is dangerous! 	
reina	-	Hmph, what is going on……!	
*	FO
*	FI
*	Glos	에테르1	
reina	-	(I've already <color=red>used too many spells</color>, and my Mana is running out. ^Will I make my way out……?)	
blank	-	Their top priority seemed to be the head of the family, which is me.	
blank	-	I defeated a few flocks of the enemy and made my way to the garden,^but the corridor leading out was packed with enemies.	
*	SE	Bomb
triana	-	Get lost! Leave me aloneeeee--------!!!	
blank	-	While figuring the way out, a desperate cry split the air form faraway.	
reina	-	(This voice is……!)	
soldier	-	Damn! What is he, a monster?!	
*	SE	Barrage
agent	-	Corridor, 2F! Immediate reinforcement required!	
blank	-	Most enemies disappeared. Only a few men were still at guard.	
reina	-	(I cannot care about other people now. Okay, maybe now is the chance……)	
lucius	-	Duchess of Pintos?!	
blank	-	I turned around towards the call,^ only to find the one who hates me the most.	
reina	-	(I don't care about him,^but staying here will make my life at risk.)	
lucius	-	…….	
blank	-	He must have got here the same way I did. ^He was holding a sword from the Royal army, must be a loot.	
reina	-	(His combat skill is definitely unquestionable.^If used wisely, I shall make my way out of here?)	
blank	-	Lucius will not be easily persuaded, but I have few other options.	
reina	-	It seems like breaking through by force is the only option. 	
reina	-	Some troop has just withdrawn and now is the chance.^We never know when they will be back so let's be quick. Lead front, I will do my best to assist you. 	
lucius	-	…….	
blank	-	He stared at me for a minute and brusquely replied. 	
lucius	-	Do you think I am willing to help you? To help my brother's murderer?	
blank	-	Speaking nonsense at this fatal moment, I became speechless and anger rose in me.	
reina	-	……Don't mess with me.	
*	SE	Tap
reina	-	Grow up! We have no time! ^I have to fulfill my duty as the head of the Pintoses.	
reina	-	Isn't that the same for you?^Are you so irresponsible that you can forget about all your duty because of your revenge?	
blank	-	I shouted out loud and covered her mouth.	
reina	-	……!	
*	SE	BattleCry
soldier	-	There comes the sound!	
lucius	-	……That's right. There must be those I have to protect.	
blank	-	-	'Someone to protect' brought Lucius a faint empathy with Reina.
lucius	-	Understood. Let's get out of here first.	
*	Battle	11
